Id	sexo	ind	vista	RegResid1	RegResid2	RegResid3	RegResid4	RegResid5	RegResid6	RegResid7	RegResid8	RegResid9	RegResid10	RegResid11	RegResid12	RegResid13	RegResid14	RegResid15	RegResid16	RegResid17	RegResid18	RegResid19	RegResid20	RegResid21	RegResid22	RegResid23	RegResid24	RegResid25	RegResid26	RegResid27	RegResid28	RegResid29	RegResid30	RegResid31	RegResid32	RegResid33	RegResid34	RegPred1	RegPred2	RegPred3	RegPred4	RegPred5	RegPred6	RegPred7	RegPred8	RegPred9	RegPred10	RegPred11	RegPred12	RegPred13	RegPred14	RegPred15	RegPred16	RegPred17	RegPred18	RegPred19	RegPred20	RegPred21	RegPred22	RegPred23	RegPred24	RegPred25	RegPred26	RegPred27	RegPred28	RegPred29	RegPred30	RegPred31	RegPred32	RegPred33	RegPred34	RegScore1
f1	f	f1	l	0.33145004153846175	-0.13621940600266474	-0.05825181822276695	0.04757629701939464	-0.21188574855916417	0.0454025239106017	-0.2878030800829043	-0.0658748394089775	-0.1574136363380108	-0.2075403971861542	-0.2266729001026816	-0.1365089502650748	-0.14124494211685443	-0.2654238414744915	0.09357158737278741	0.045374648655909906	-0.038640776402280336	0.11315333328974506	0.37902380324103274	-0.07668181538783911	0.3142657641859877	-0.012825748354350361	0.2258012425705605	0.026520625559940055	0.1400724245192099	0.0714614248135711	0.05096206297057523	0.10751633232636665	-0.043085090797762994	0.12932804168904613	-0.1374666505645066	0.14986003568509076	-0.23268228321168496	0.1648817351298865	0.3361765365273488	-0.1275061071470865	-0.06138369757504344	0.043905148826211104	-0.21329395573962973	0.04391707720003993	-0.2925822418383309	-0.04926390240590028	-0.16654108611495663	-0.20320137590202883	-0.23889696113899123	-0.12607375760249823	-0.14512701199857758	-0.2531494586245123	0.07902664228515228	0.05607209526316938	-0.03144188149844326	0.10247205179699552	0.38952907212402127	-0.06978640703105433	0.3240901486467607	-0.005238772969703029	0.23335999436566723	0.027208663181215207	0.14406437183357895	0.06397799482994951	0.05260443111685604	0.09464732141380497	-0.04135289902709283	0.11731982364369803	-0.13631654160508652	0.13493812692228743	-0.2319149203632338	0.14976147860541236	-0.008949809806102646
f10	f	f10	l	0.37477217365116233	-0.11182938313912469	-0.06919989658122613	0.041953886823053475	-0.2184097505461825	0.03986974473982283	-0.29025284798955914	-0.05333273104061003	-0.19157540072134216	-0.17973110307330423	-0.24565998979613865	-0.12352514695645245	-0.15462122738826722	-0.23948162083977934	0.07371004643858495	0.04455523758459102	-0.007525909003136003	0.08619311625732624	0.38901953272691225	-0.06318308882750936	0.31877342607041853	-0.006642986157004472	0.22955893249919368	0.02517955985063825	0.144349487277378	0.0677106718091439	0.05262247021080655	0.09269262177196327	-0.041502001190788985	0.11060526601155694	-0.13480611008956664	0.12817867074951678	-0.22925293556824783	0.14078728443617133	0.3367933873966072	-0.12929848003812133	-0.06048668033581792	0.042960898699063256	-0.21450442489771238	0.04648501245408328	-0.29290497657886394	-0.044219640417086724	-0.16544785103709717	-0.20183917398984885	-0.23714707484747555	-0.12286272002992661	-0.1442995311898595	-0.25519281799153554	0.07543191783193207	0.05994351986271973	-0.03383110179952882	0.10299803913956328	0.3916586085985454	-0.06907296438652663	0.3259712973935144	-0.004151656353852749	0.2342858527038835	0.026387821686874816	0.14410170111450116	0.06178705630836971	0.05242334994122465	0.0924931242756657	-0.04176074940895788	0.11528952768028879	-0.13711464782414723	0.1320942230343673	-0.23316907706074863	0.14619823006590252	-0.040166728088185256
f11	f	f11	l	0.34994449830450364	-0.13071781140396288	-0.06445130065277735	0.0365341167189902	-0.21930529141704858	0.046700459874477365	-0.28081808047753887	-0.04233791977273101	-0.1788134798854533	-0.20145137865435128	-0.2376249812586869	-0.12489963722408672	-0.14166260259556362	-0.25075814985912415	0.06829401960219003	0.0625582262170447	-0.016054316979495227	0.08776677867977653	0.387577377477835	-0.07116025113643115	0.3229519002576502	-0.00439976661918062	0.2343888399769824	0.03364518044633656	0.14323137524786492	0.06628370561292014	0.05036943532748576	0.09318522969227915	-0.04413222197567846	0.11494992338448683	-0.139061853364308	0.13436212698698546	-0.23483331758796316	0.14973916705657142	0.33326758074369234	-0.11905360469035253	-0.06561386667445934	0.04835805957899561	-0.20758560476887442	0.03180716460757528	-0.2910602838792067	-0.0730517185830572	-0.1716965826233086	-0.20962527076612775	-0.24714910456964856	-0.1412164230079967	-0.14902926002050096	-0.24351334989058587	0.09597870478515066	0.037815165523584604	-0.020174755910003575	0.09999159177246458	0.3794865679260098	-0.07315087194556633	0.31521899550505206	-0.010365415931216192	0.2289938159228309	0.031079601411872947	0.14388833377794816	0.07431005984211014	0.053458376793867966	0.10480612078724265	-0.03942955128403261	0.12689432775746284	-0.13255281877091077	0.14834945707551336	-0.22600054695360638	0.1665651064580806	0.011891397120067745
f12	f	f12	l	0.3538610846884625	-0.13168787378006375	-0.07185922501642872	0.040444294729191595	-0.21434060047732292	0.04280559913567929	-0.2990556481847701	-0.0512316727236223	-0.15747382768281265	-0.19097689063173218	-0.2456315008739257	-0.11583743143947564	-0.12812596498491177	-0.2447490060545713	0.05823493968782798	0.07525799354064795	-0.030881959522623122	0.09806726642129139	0.39332279394809894	-0.07298010694252774	0.3261106000505539	-0.009078467076913756	0.23498334184643277	0.024132332816597372	0.14337790099344266	0.056008633728440484	0.05014344524037011	0.08373880398542018	-0.0431620313275662	0.10971844281498982	-0.13712060683652538	0.13352885095943828	-0.23238274154829955	0.15283923051721068	0.33406149101197224	-0.12136045601162875	-0.06445937175107307	0.04714277415244098	-0.20914352410064632	0.03511219385867127	-0.29147565562821287	-0.06655956369053397	-0.1702895479619165	-0.20787206567321706	-0.24489693509985958	-0.1370836968861027	-0.14796426109841845	-0.2461432302459722	0.0913521592175332	0.04279783458612418	-0.02324977229523633	0.10066855726454833	0.38222736145984054	-0.07223264442973211	0.3176401046914671	-0.008966255960543113	0.23018543042532189	0.03002314753709681	0.14393637796643619	0.07149023956440932	0.05322531851043101	0.1020335880518603	-0.03995447006460242	0.12428126049383767	-0.13358001149133628	0.14468924581353462	-0.2276146937917005	0.16197907157520644	-0.018265125271953793
f13	f	f13	l	0.3594213634591735	-0.12440224082548954	-0.07237895700333356	0.049829839365926554	-0.21659860168944484	0.057450289025405644	-0.28342187045870704	-0.045916633600909695	-0.16967900499978392	-0.1868183400082284	-0.24651125776932056	-0.11917235031102053	-0.144509133662073	-0.25628493018989873	0.06406104864555735	0.06268456077082546	-0.015584011311475238	0.09236434726453542	0.39334090738379507	-0.06687531572424629	0.3255967534322241	-0.003093809825837789	0.23464074210924912	0.02830696133224256	0.14066035577098726	0.053336065917780076	0.04835620027744153	0.08133291736361904	-0.04497376539596846	0.10563936612411928	-0.13857429654408784	0.12789951437354916	-0.23384647224423663	0.1437197589476265	0.33259642211977364	-0.11710343069685163	-0.06658985760827088	0.049385441799812656	-0.2062685655055408	0.029013147483974343	-0.2907091354653164	-0.07854007906663364	-0.17288606647920063	-0.21110740138544146	-0.2490530514293488	-0.14471016139106718	-0.1499295925134519	-0.24129009248869313	0.09988990996881326	0.033602899421142224	-0.017575187862959918	0.09941929633019528	0.3771695463555537	-0.07392712631661359	0.3131722298001168	-0.011548242653678995	0.22798644471012927	0.03197271006301128	0.1438477180147804	0.07669388931616414	0.05365540041612606	0.1071499741542994	-0.038985793619580655	0.12910337164936447	-0.13168444701621138	0.1514437392028423	-0.22463597388541168	0.17044206457817362	0.009879245421527683
f14	f	f14	l	0.36224706869086526	-0.12182778165041681	-0.08401995850222325	0.04288025508980567	-0.2238074682959816	0.041398695016961966	-0.29519466662580107	-0.05051225153405524	-0.16962021468468808	-0.18663907851632563	-0.24956836434192314	-0.11274194218158025	-0.1459185038082554	-0.2256794474588742	0.07224026506358336	0.056641694231026746	7.121098383569419E-4	0.08630674004420223	0.39369662427862867	-0.07166291250320095	0.3269079187937503	-0.006356796624667281	0.23567936798631245	0.02853998529408064	0.14599065584185056	0.06466523612457353	0.05194097336624473	0.09206059304343588	-0.04373069475889189	0.10931486946458517	-0.14034588890518648	0.12172474953927667	-0.23720922393663763	0.13188739262117288	0.335964301492551	-0.12688941948097884	-0.061692327252764634	0.04423002955278605	-0.21287747912155153	0.04303354788175326	-0.29247120103041274	-0.05099944201859822	-0.1669172269236267	-0.2036700580173361	-0.23949903077442602	-0.12717855408559492	-0.14541171682268514	-0.25244641601246903	0.08026345090039336	0.054740084601353364	-0.03061984123067132	0.10229107946232525	0.3887963792313012	-0.07003187563948737	0.32344291656908347	-0.0056128086471944885	0.23304144155748946	0.02749108366855968	0.1440515282410182	0.06473181384284381	0.05266673429502544	0.0953884991074086	-0.04121257314882749	0.11801837163303953	-0.13604194346538	0.1359166066014034	-0.23148341251651716	0.150987457550186	-0.0388038847095496
f15	f	f15	l	0.35094819835206253	-0.12706017079947313	-0.06189404348008057	0.04345724203316057	-0.21170608799430762	0.040016527708002486	-0.30301891344231574	-0.05013406976188468	-0.18621090899813586	-0.1873527913279983	-0.24543838578191823	-0.1167895108108978	-0.15137952186575457	-0.24494298481447482	0.04451983473521924	0.06395683852081681	-0.01548703100027133	0.09335585700962874	0.3990609566357675	-0.05543067497341997	0.32970532324848323	0.0033703123795646617	0.2376832107464194	0.02761602501119439	0.14733011177072658	0.05703622109980789	0.056416544081797186	0.08434625082783855	-0.036010084616728305	0.1078654119896019	-0.13019487799519863	0.12432662651040853	-0.2243243243957642	0.13636288939812413	0.33654972498885616	-0.12859047439853727	-0.06084101132762908	0.043333887165103196	-0.21402627718930206	0.04547065174206662	-0.2927774930526792	-0.04621217553825653	-0.16587969008375264	-0.20237725768933998	-0.23783829784533547	-0.1241311127408789	-0.14462639457981055	-0.25438567012471297	0.07685187078835135	0.05841426751605896	-0.03288733532334612	0.10279026875497951	0.390817419892108	-0.06935478153427078	0.3252282243821673	-0.004581078545382979	0.2339201291827391	0.026712062479683326	0.1440869556664157	0.06265249945193617	0.052494878859236524	0.09334405419666998	-0.041599644333160705	0.11609151536896031	-0.13679938769780384	0.13321759418171825	-0.23267367232705508	0.147605749714203	-0.06811068178765783
f16	f	f16	l	0.3289273843509711	-0.13212286764354247	-0.07066318568203676	0.0366975506087818	-0.2088362924712753	0.027954976930191104	-0.2966799738717713	-0.057951354545376824	-0.17056339500191536	-0.20614398341174958	-0.23992622600099275	-0.12900392202032346	-0.1375435586188994	-0.2373299532700653	0.08142303107637217	0.05122550110592188	-0.020999153812416686	0.09814657476321871	0.3912777151893493	-0.0705388960377402	0.3232293678533913	-0.007379474687080905	0.23296909446896777	0.02856180626707524	0.14529981054715674	0.0705177332654262	0.053370724771065525	0.1021537531756328	-0.041227221752379195	0.1245554279802666	-0.1368176561110953	0.14320040752673166	-0.2332404649344897	0.15745671999263325	0.33446118437279004	-0.12252183809011688	-0.06387814239252707	0.0465309398735558	-0.2099278570894967	0.036776107655672484	-0.2916847741356593	-0.06329109455539511	-0.1695811777152166	-0.2069894162557877	-0.24376308254689832	-0.13500307989574886	-0.147428088415633	-0.24746724098092673	0.08902292930228793	0.045306354532294514	-0.02479788633619281	0.10100937489029198	0.3836072113277835	-0.07177036367022717	0.31885900978224246	-0.008261850219310194	0.23078534760025882	0.02949127685015736	0.1439605657669116	0.07007060375828922	0.0531079855418385	0.10063775911342945	-0.04021873991970446	0.122965714293756	-0.13409715067826733	0.14284651597484224	-0.22842733446451755	0.1596702367252236	0.01908109805907091
f17	f	f17	l	0.3297339706895339	-0.12393822943697541	-0.06280258258295311	0.027870660748121782	-0.207183621002636	0.025661710995486718	-0.3096070377836426	-0.052624556381568766	-0.17605905313068998	-0.2097193371223232	-0.24095709769329068	-0.1338990982184597	-0.1401804112090905	-0.23262544030557222	0.07804879534566193	0.05629725831474157	-0.02552155905263251	0.09969274712866286	0.3876489749878612	-0.07038999175255603	0.32469366354643725	-0.00426744860133407	0.23661174119261083	0.03357644282023935	0.1465415954037797	0.06705346284828122	0.055283913682420326	0.09709084000292681	-0.03801521506502448	0.12008983444934988	-0.13211639807385112	0.13965621699485695	-0.22611967925449344	0.16047492751612102	0.33485614948645154	-0.12366948138270467	-0.06330378879507984	0.045926343402382476	-0.21070291166497396	0.038420337874084824	-0.2918914188367203	-0.06006129038547427	-0.1688811872664642	-0.20611720830425984	-0.24264264311418082	-0.13294707595212665	-0.14689825848759713	-0.24877558908395828	0.08672125344673667	0.047785199473911605	-0.02632768667337171	0.10134616075036791	0.38497073800436565	-0.07131355154718418	0.3200634956079153	-0.0075657773771679645	0.23137816794308763	0.028965698026705285	0.14398446743329016	0.06866776179870593	0.05299204058548107	0.09925844239375403	-0.04047988354526808	0.12166573059280335	-0.13460817227073787	0.14102558505245394	-0.22923036185293444	0.1573887146677065	0.008266900599493102
f18	f	f18	l	0.32524077429041287	-0.1362705429258913	-0.0627297634293079	0.053586288712188596	-0.20874392802257305	0.04918037936265464	-0.27856319734954765	-0.051863677453529364	-0.16401691605153074	-0.21798639232045075	-0.22247541615939986	-0.13898019474882214	-0.1446207852041713	-0.26820690788152146	0.06402261183609516	0.07082743596389654	-0.04005473470464158	0.11541799293330965	0.38998823092399376	-0.07407883860250646	0.3223794194800051	-0.008153824109953666	0.2323258247946506	0.026717624593454205	0.14178431567111682	0.06017207709747121	0.05063366148478951	0.09065508676410541	-0.041426845482804425	0.12019344666775376	-0.1346634754993416	0.14395340028441392	-0.22907977657774894	0.1648366456634274	0.33552294257502174	-0.12560697051572559	-0.06233414617114547	0.04490564376484986	-0.21201138427766117	0.0411961813795831	-0.29224028321408213	-0.05460862881247202	-0.16769944038009668	-0.20464471816840132	-0.24075108043166535	-0.12947606250749272	-0.1460037821859895	-0.250984385360819	0.08283548860441221	0.05197006699141122	-0.02891034589171859	0.10191473371050858	0.38727268856297953	-0.07054234630427961	0.3220969481738748	-0.006390644323063195	0.23237898673363244	0.028078398579602554	0.14402481901218986	0.0662994378869183	0.05279629849870029	0.09692983456532396	-0.04092075479851814	0.11947105537449514	-0.13547089572195778	0.13795142960982174	-0.23058605908797655	0.153536974129739	-0.02911701754838806
