Id	sexo	vista	IND	RegResid1	RegResid2	RegResid3	RegResid4	RegResid5	RegResid6	RegResid7	RegResid8	RegResid9	RegResid10	RegResid11	RegResid12	RegResid13	RegResid14	RegResid15	RegResid16	RegResid17	RegResid18	RegResid19	RegResid20	RegResid21	RegResid22	RegResid23	RegResid24	RegResid25	RegResid26	RegResid27	RegResid28	RegResid29	RegResid30	RegResid31	RegResid32	RegResid33	RegResid34	RegResid35	RegResid36	RegResid37	RegResid38	RegResid39	RegResid40	RegResid41	RegResid42	RegPred1	RegPred2	RegPred3	RegPred4	RegPred5	RegPred6	RegPred7	RegPred8	RegPred9	RegPred10	RegPred11	RegPred12	RegPred13	RegPred14	RegPred15	RegPred16	RegPred17	RegPred18	RegPred19	RegPred20	RegPred21	RegPred22	RegPred23	RegPred24	RegPred25	RegPred26	RegPred27	RegPred28	RegPred29	RegPred30	RegPred31	RegPred32	RegPred33	RegPred34	RegPred35	RegPred36	RegPred37	RegPred38	RegPred39	RegPred40	RegPred41	RegPred42	RegScore1
f/1	m	d	m/31	0.24380145756366903	0.0	-0.07953503670107351	0.17956538066208272	-0.19651986779767022	0.1970060328877012	-0.07953503670107351	-0.17956538066208275	-0.19651986779767022	-0.1970060328877012	-0.27782508714450127	0.24103952460797495	-0.27782508714450127	-0.2410395246079749	0.032397969267990774	0.11865336252468119	-0.021348801228940412	0.12024934576466557	-0.04494282288014333	0.04591896562468156	0.032397969267990774	-0.1186533625246812	-0.021348801228940412	-0.12024934576466557	-0.04494282288014333	-0.04591896562468156	0.22468096986535618	0.06164587323082701	0.17795719240768978	0.12225636007078482	0.07879507652205171	0.18278244713054187	-0.015560321092594283	0.21258466911448307	0.22468096986535618	-0.061645873230827014	0.1779571924076898	-0.12225636007078482	0.07879507652205171	-0.18278244713054187	-0.015560321092594283	-0.21258466911448307	0.250056278375315	0.0	-0.08333189058421156	0.18198236491119876	-0.20049437060570519	0.19125882890955737	-0.08333189058421156	-0.1819823649111988	-0.20049437060570516	-0.1912588289095574	-0.2810702200737948	0.23538308450696369	-0.2810702200737948	-0.23538308450696369	0.032145400295762114	0.11598278428431545	-0.0393505137568164	0.10815417067117783	-0.047573705191743934	0.05003241006829427	0.032145400295762114	-0.11598278428431547	-0.0393505137568164	-0.10815417067117783	-0.047573705191743934	-0.05003241006829427	0.22980913631485858	0.06323534433973252	0.17265363085530763	0.12785343592497178	0.09110711261913094	0.17584770205451666	0.0010772809395547993	0.20694636571999023	0.22980913631485858	-0.06323534433973252	0.1726536308553076	-0.12785343592497178	0.09110711261913094	-0.17584770205451666	0.0010772809395547993	-0.20694636571999023	0.0048047228714361515
f/10	f	d	f/10	0.2578592644150331	0.0	-0.08283183259851269	0.17505812584417663	-0.19965299778316592	0.1825690841862517	-0.08283183259851268	-0.17505812584417668	-0.1996529977831659	-0.1825690841862517	-0.2797711543565899	0.23658249030883524	-0.2797711543565899	-0.23658249030883527	0.04346849132328111	0.10166240621592453	-0.027981446940880707	0.10689922997921626	-0.03704735002201262	0.05238938290148372	0.04346849132328111	-0.10166240621592453	-0.027981446940880707	-0.10689922997921626	-0.03704735002201262	-0.05238938290148372	0.2325298473393834	0.07260265587856515	0.1694709026674897	0.13257923758943804	0.07594230323501054	0.1853274028840366	-0.023056395071519513	0.2215314404853008	0.2325298473393834	-0.07260265587856515	0.16947090266748974	-0.13257923758943801	0.07594230323501054	-0.1853274028840366	-0.023056395071519506	-0.2215314404853008	0.25681822926137415	0.0	-0.08466709629715866	0.18064938210714732	-0.2003875719418387	0.1875784269411229	-0.08466709629715866	-0.18064938210714734	-0.20038757194183868	-0.1875784269411229	-0.28055294480133225	0.2301653414251496	-0.28055294480133225	-0.23016534142514958	0.030738587010329287	0.11481801803289424	-0.04181879087908817	0.10762848521374974	-0.04945775224085292	0.05056686159499253	0.030738587010329287	-0.11481801803289425	-0.04181879087908817	-0.10762848521374974	-0.04945775224085292	-0.05056686159499253	0.23419262231913518	0.06501949586348345	0.17289083799783275	0.12997785933465003	0.09175253298835753	0.1757759770545007	-0.0010995387860713583	0.20687211589806792	0.23419262231913518	-0.06501949586348345	0.17289083799783272	-0.12997785933465003	0.09175253298835753	-0.1757759770545007	-0.0010995387860713592	-0.20687211589806792	-0.04170503384116023
f/11	f	d	f/11	0.2474844236640756	0.0	-0.0869844934896626	0.18088381621265331	-0.20156392641314025	0.19108166945770513	-0.08698449348966261	-0.18088381621265331	-0.20156392641314025	-0.19108166945770516	-0.2816600279086631	0.23917335127500178	-0.2816600279086631	-0.23917335127500178	0.03649953778303612	0.1064543710728132	-0.02773920120032204	0.10512243821506286	-0.036045885658168554	0.048284619204705524	0.036499537783036114	-0.10645437107281319	-0.02773920120032204	-0.10512243821506286	-0.036045885658168554	-0.048284619204705524	0.22302242075018658	0.07363205342722595	0.17132298917837013	0.13285236717602292	0.08182311271188022	0.18376698365840052	-0.002416737585554377	0.2131467697522559	0.22302242075018658	-0.07363205342722594	0.17132298917837013	-0.13285236717602292	0.08182311271188022	-0.18376698365840052	-0.0024167375855543775	-0.2131467697522559	0.2373028794151218	0.0	-0.08081362160561685	0.18449644136540572	-0.20069579856512929	0.19820026273956268	-0.08081362160561685	-0.18449644136540574	-0.20069579856512929	-0.1982002627395627	-0.2820458287454811	0.24522402542999738	-0.2820458287454811	-0.24522402542999738	0.03479872496403419	0.11817959537479068	-0.034695211845418523	0.10914564139894871	-0.04402029226669602	0.04902440606771514	0.03479872496403419	-0.11817959537479071	-0.034695211845418523	-0.10914564139894871	-0.04402029226669602	-0.04902440606771514	0.22154164860443784	0.05987033968778461	0.1722062455702315	0.12384666040108286	0.08988981548040842	0.1759829792187606	0.005182878701668746	0.20708640483261534	0.22154164860443784	-0.05987033968778461	0.1722062455702315	-0.12384666040108286	0.08988981548040842	-0.1759829792187606	0.005182878701668746	-0.20708640483261534	0.02325691126559852
f/12	f	d	f/12	0.2458114344629524	0.0	-0.08652047912117848	0.18400972671033572	-0.19485533964209034	0.1931191996735584	-0.0865204791211785	-0.18400972671033572	-0.19485533964209031	-0.1931191996735584	-0.2755018340479446	0.24124548290684106	-0.2755018340479446	-0.24124548290684109	0.03255567019885525	0.10642120145594848	-0.03989874293635436	0.0994917593688585	-0.04553313408117655	0.05429363185965173	0.03255567019885525	-0.10642120145594848	-0.03989874293635436	-0.0994917593688585	-0.04553313408117655	-0.05429363185965172	0.22260955301801302	0.07053007019759983	0.16999402981746342	0.13165694977937287	0.08605132509849396	0.18858667529382367	0.008193234464442414	0.21709105881013388	0.22260955301801302	-0.07053007019759983	0.16999402981746345	-0.13165694977937287	0.08605132509849397	-0.18858667529382367	0.008193234464442414	-0.21709105881013388	0.2416354547851258	0.0	-0.0816691261017719	0.18364236115057025	-0.20062736960602945	0.19584212391411987	-0.0816691261017719	-0.18364236115057028	-0.20062736960602942	-0.1958421239141199	-0.28171439568086015	0.2418808681749095	-0.28171439568086015	-0.2418808681749095	0.03389733944772901	0.11743329631735099	-0.036276707606996215	0.10880881968823239	-0.04522745510748613	0.04936684444978144	0.03389733944772901	-0.117433296317351	-0.036276707606996215	-0.10880881968823239	-0.04522745510748613	-0.04936684444978144	0.22435027348458014	0.06101349660779344	0.17235823097216812	0.12520783925247142	0.09030335477433839	0.17593702295943267	0.0037881280317650645	0.20703883084766508	0.22435027348458014	-0.06101349660779344	0.17235823097216812	-0.12520783925247142	0.09030335477433839	-0.17593702295943267	0.0037881280317650645	-0.20703883084766508	0.01314123188484694
f/13	f	d	f/13	0.2453690984277937	0.0	-0.0873889877559169	0.18899049167475437	-0.19930076203515	0.19521421785927484	-0.0873889877559169	-0.18899049167475437	-0.19930076203515001	-0.19521421785927484	-0.27966783953549146	0.2397697292871459	-0.27966783953549146	-0.2397697292871459	0.03553143765725192	0.11331661361457127	-0.03296449101852997	0.10315417004617389	-0.03822499887448955	0.05565228335117619	0.03553143765725191	-0.11331661361457127	-0.03296449101852997	-0.10315417004617387	-0.03822499887448955	-0.05565228335117618	0.22746977722799422	0.06588749450127006	0.17119643576203364	0.12338899341338569	0.0848691309720615	0.1763400280589815	-0.004204251613660316	0.20989298149244298	0.22746977722799422	-0.06588749450127006	0.17119643576203367	-0.12338899341338569	0.0848691309720615	-0.1763400280589815	-0.004204251613660317	-0.20989298149244295	0.23736439239750778	0.0	-0.08082576787625474	0.18448431531641066	-0.20069482702534144	0.19816678238673663	-0.08082576787625474	-0.18448431531641069	-0.20069482702534142	-0.19816678238673666	-0.2820411231294156	0.24517655999528856	-0.28204112312941565	-0.2451765599952886	0.03478592728444358	0.11816899957971398	-0.03471766558542706	0.10914085927603355	-0.044037431307617655	0.04902926793493392	0.03478592728444358	-0.118168999579714	-0.03471766558542706	-0.10914085927603356	-0.044037431307617655	-0.04902926793493392	0.2215815248623276	0.05988656998627446	0.17220840342659957	0.12386598612852187	0.08989568682323135	0.17598232674157807	0.005163076328700316	0.20708572938730893	0.2215815248623276	-0.05988656998627446	0.17220840342659957	-0.12386598612852187	0.08989568682323135	-0.17598232674157807	0.005163076328700316	-0.20708572938730893	0.026702873811472964
f/14	f	d	f/14	0.2594909340271789	0.0	-0.09014659414914802	0.18538858720830237	-0.1981805423083431	0.1923979191943053	-0.09014659414914802	-0.18538858720830237	-0.19818054230834312	-0.1923979191943053	-0.2711781917368874	0.2337790026534445	-0.27117819173688734	-0.2337790026534445	0.02787500272438853	0.10858563084124125	-0.03561726582767648	0.09617207699106554	-0.04105787844090342	0.0531753279724916	0.02787500272438853	-0.10858563084124125	-0.03561726582767648	-0.09617207699106554	-0.04105787844090341	-0.0531753279724916	0.2342135262113652	0.06761190448510174	0.17677995383532308	0.12900917574585302	0.08564804088495463	0.18010276891768315	-0.01808151820666249	0.2132421671241286	0.2342135262113652	-0.06761190448510174	0.17677995383532305	-0.12900917574585302	0.08564804088495463	-0.18010276891768315	-0.018081518206662494	-0.2132421671241286	0.2498701086686727	0.0	-0.0832951297647269	0.1820190645296626	-0.2004973109813833	0.19136015755957786	-0.0832951297647269	-0.18201906452966263	-0.20049731098138324	-0.19136015755957786	-0.2810844616717227	0.23552673915859373	-0.2810844616717227	-0.23552673915859373	0.03218413261148914	0.11601485257274106	-0.03928255726977467	0.10816864381791381	-0.047521833698983454	0.05001769557456066	0.03218413261148914	-0.11601485257274108	-0.03928255726977467	-0.10816864381791381	-0.047521833698983454	-0.05001769557456066	0.22968845038897154	0.06318622316577266	0.17264710007966588	0.12779494640181074	0.09108934293656083	0.17584967678376814	0.0011372130355669925	0.20694840996251704	0.22968845038897154	-0.06318622316577266	0.17264710007966588	-0.12779494640181074	0.09108934293656083	-0.17584967678376814	0.0011372130355669923	-0.20694840996251704	-0.02890113596388328
f/15	f	d	f/15	0.2626373528496759	0.0	-0.08223208456427324	0.18166653337095953	-0.19443742220953855	0.1910039965946964	-0.08223208456427324	-0.1816665333709596	-0.19443742220953855	-0.19100399659469636	-0.2882298749316828	0.22876760618009742	-0.28822987493168273	-0.22876760618009742	0.023540062917693585	0.10930206772120903	-0.038912933507707935	0.09695720021593782	-0.04480298078712855	0.05307250086081077	0.02354006291769358	-0.10930206772120904	-0.038912933507707935	-0.0969572002159378	-0.04480298078712855	-0.05307250086081078	0.23083581054453545	0.07499676406155986	0.1703249414282806	0.13303212724210528	0.0905371594098581	0.17757973635379465	0.0020586452751252564	0.2079574178482423	0.23083581054453547	-0.07499676406155986	0.1703249414282806	-0.13303212724210528	0.0905371594098581	-0.17757973635379465	0.002058645275125257	-0.2079574178482423	0.2525858928657884	0.0	-0.08383138485386045	0.1814837022214664	-0.20045441772047545	0.18988200758875884	-0.08383138485386045	-0.18148370222146643	-0.20045441772047543	-0.18988200758875887	-0.28087670979150586	0.23343115099994344	-0.28087670979150586	-0.23343115099994344	0.031619117965087665	0.11554705062737868	-0.04027388478985291	0.10795751417766754	-0.048278518461829255	0.05023234590769512	0.031619117965087665	-0.11554705062737868	-0.04027388478985291	-0.10795751417766754	-0.048278518461829255	-0.05023234590769512	0.23144897811525766	0.06390278715671381	0.17274236894806905	0.12864817287760216	0.09134856138827363	0.1758208700643962	2.629427679415198E-4	0.20691858920569506	0.23144897811525766	-0.06390278715671381	0.17274236894806905	-0.12864817287760216	0.09134856138827363	-0.1758208700643962	2.6294276794151935E-4	-0.20691858920569506	-0.03669092449373726
f/16	f	d	f/16	0.24563321259087498	0.0	-0.08614832972956456	0.18485241775607264	-0.2002067950018521	0.19546431029038647	-0.08614832972956456	-0.18485241775607264	-0.2002067950018521	-0.19546431029038647	-0.2810381262217604	0.25196996513081965	-0.2810381262217604	-0.2519699651308197	0.026913263288308776	0.11628332072351083	-0.037550044494345944	0.10286657543155962	-0.04632869612602752	0.04870831551970251	0.026913263288308776	-0.11628332072351082	-0.03755004449434594	-0.10286657543155962	-0.04632869612602752	-0.04870831551970252	0.2284782872178075	0.056897251671531514	0.17330946818390516	0.11878145374514626	0.08997443070236112	0.1686500063712124	0.009779935885730527	0.2025371820424219	0.22847828721780744	-0.05689725167153152	0.17330946818390514	-0.11878145374514627	0.08997443070236111	-0.16865000637121244	0.009779935885730527	-0.2025371820424219	0.244911474074891	0.0	-0.08231600445760816	0.18299655974612633	-0.20057562795796913	0.19405904857893239	-0.08231600445760816	-0.18299655974612636	-0.2005756279579691	-0.1940590485789324	-0.2814637869735122	0.23935298424420795	-0.2814637869735122	-0.23935298424420795	0.03321576876822622	0.11686899220275142	-0.03747253461037173	0.10855413642774997	-0.046140235247376114	0.04962577468166433	0.03321576876822622	-0.11686899220275143	-0.03747253461037173	-0.10855413642774997	-0.046140235247376114	-0.04962577468166433	0.2264739778634499	0.06187787952126924	0.172473152714085	0.1262370765520329	0.09061604701585599	0.17590227374466166	0.0027335058477744893	0.20700285841116298	0.2264739778634499	-0.06187787952126924	0.172473152714085	-0.1262370765520329	0.09061604701585599	-0.17590227374466166	0.0027335058477744893	-0.20700285841116298	0.020003350798904078
f/17	f	d	f/17	0.2532732904273519	0.0	-0.08150693964599325	0.1811244292969084	-0.2035292461569641	0.18850499787717442	-0.08150693964599325	-0.18112442929690836	-0.2035292461569641	-0.18850499787717442	-0.28575311529757746	0.23725435337422116	-0.28575311529757746	-0.23725435337422118	0.028441476487809914	0.11432662086332206	-0.0426477972172882	0.1002969693347554	-0.05047471515535841	0.04579125974651753	0.028441476487809914	-0.11432662086332206	-0.0426477972172882	-0.1002969693347554	-0.05047471515535841	-0.04579125974651753	0.23277548977847498	0.06091281206657362	0.17841749531707152	0.12383161312255705	0.09667459533753654	0.16983094738397633	9.661113386125093E-4	0.20077947431792947	0.23277548977847498	-0.06091281206657362	0.17841749531707152	-0.12383161312255704	0.09667459533753654	-0.16983094738397633	9.661113386125093E-4	-0.20077947431792947	0.24600195838516095	0.0	-0.08253133002052425	0.1827815926666294	-0.20055840478239942	0.19346551859480624	-0.08253133002052425	-0.18278159266662944	-0.2005584047823994	-0.19346551859480626	-0.2813803671767382	0.23851153078475315	-0.2813803671767382	-0.23851153078475315	0.03298889521633357	0.11668115302087781	-0.0378705880006714	0.10846936033973605	-0.046444071193759505	0.04971196445356371	0.03298889521633357	-0.11668115302087782	-0.0378705880006714	-0.10846936033973605	-0.046444071193759505	-0.04971196445356371	0.22718089259745167	0.06216560554539725	0.17251140656590475	0.1265796774427611	0.09072013247847319	0.17589070681841665	0.002382455123348872	0.20699088431268	0.22718089259745167	-0.06216560554539725	0.17251140656590475	-0.1265796774427611	0.09072013247847319	-0.17589070681841665	0.0023824551233488714	-0.20699088431268	-0.009813272184715187
f/18	f	d	f/18	0.2586285917655464	0.0	-0.0861853968515272	0.18359776612898537	-0.2030609008884819	0.1872767582917089	-0.0861853968515272	-0.18359776612898537	-0.20306090088848186	-0.18727675829170887	-0.26957409549375533	0.2381872361295336	-0.26957409549375533	-0.2381872361295336	0.02048319388817292	0.11487118400265584	-0.045703412580786515	0.10454845521828737	-0.0542835472389376	0.051649402765724946	0.020483193888172924	-0.11487118400265585	-0.045703412580786515	-0.10454845521828739	-0.0542835472389376	-0.051649402765724946	0.23660429720198406	0.06062135177361819	0.17352353201836682	0.1292803426093552	0.09166470680209814	0.17576702088620932	0.0072173272600932845	0.20564882266829929	0.23660429720198406	-0.06062135177361819	0.17352353201836682	-0.1292803426093552	0.09166470680209815	-0.1757670208862093	0.007217327260093283	-0.20564882266829929	0.24408270524484693	0.0	-0.08215235688086094	0.18315993487522705	-0.20058871758331456	0.19451013177738624	-0.08215235688086094	-0.18315993487522708	-0.20058871758331454	-0.19451013177738627	-0.2815271860767582	0.2399924894553891	-0.2815271860767582	-0.2399924894553891	0.033388192824582844	0.11701175011089525	-0.03717001375842837	0.10861856631327636	-0.04590931971797509	0.049560270395407204	0.033388192824582844	-0.11701175011089526	-0.03717001375842837	-0.10861856631327636	-0.04590931971797509	-0.049560270395407204	0.22593672217666744	0.061659207543924816	0.17244407976024356	0.12597669963811783	0.09053694199227569	0.1759110646166082	0.0030003046411439375	0.20701195873429198	0.22593672217666744	-0.061659207543924816	0.17244407976024356	-0.12597669963811783	0.09053694199227569	-0.1759110646166082	0.0030003046411439375	-0.20701195873429198	-0.014099569990759144
