Id	sexo	ind	vista	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
f1	f	f1	l	0.040025408982542435	-0.003756031025208262	-0.004651308927621993	0.008759622719089904	-0.006749063534947352	0.00433292909125025	-0.006447269460653979	0.0051194852130216914	-4.259589604473338E-4	-0.005747683371855615	-0.003249296062128087	-9.67350446975087E-4	-0.0019503426515748315	0.0023770655796784054	0.0017138942779417765	0.002536083939266634	-3.723722897986555E-4	-2.287170170506477E-4	-1.3781671406796385E-4	6.988781378642586E-4	-0.0010661424103727579	-6.852752661307244E-4	6.44597384004803E-4	4.3868362672067036E-4	-0.0012797552456888957	6.11869566309584E-4	1.7349671701897185E-4	4.43032512056034E-6	2.2186458101166055E-4	-2.263205455543391E-4
f10	f	f10	l	-0.05215162834802508	-0.0020641392831863446	-0.02382805960713673	-0.01610891755152786	-0.0010881325283657714	0.009812173441639234	-0.010520813668011251	0.024285628206036726	-0.006623260837313121	-0.0010174622359660171	-0.004266253293483047	0.007047895359672514	-0.0034844492433417063	-0.012050804267421653	-0.0021578650307439995	0.002747510176358356	-0.004070481186515619	8.026326137875828E-4	-5.898701127394737E-4	2.3020599727495688E-4	-0.0025579040725496214	-7.099710195833102E-4	-0.0012046549917152528	4.501736537011991E-4	-5.366301090760817E-4	-6.246052896446302E-5	1.476753564766287E-4	-4.4194535640822066E-5	2.453443117967022E-4	-2.8206617755013424E-5
f11	f	f11	l	-0.024574333092587747	-0.025351204148317114	-0.006387829145491727	-0.007950357551190699	-0.007004615975059975	0.006883619956253079	-0.0122043743707172	-0.007690340116737571	-0.012932940887358255	0.0032731688575991925	1.6156437051649268E-4	-0.003129977292649272	-0.003495674963751921	-0.005918002122043969	0.0026084882015323797	-5.552728529265737E-4	-0.0012020330766081022	0.006727925989678578	-0.0042958822786861505	0.003061147186242448	0.002469431056365589	-0.001285557376400707	0.0012789137887595278	1.794859436439036E-4	-8.201094131306106E-4	-6.70655561100914E-5	-3.9295028279355597E-4	-3.1666822628731136E-4	-4.622577071416259E-5	-9.359165617280573E-5
f12	f	f12	l	-0.032284348734439194	-0.038418374493546986	0.008476864355936644	0.017917295438101173	-0.012072314865907452	-0.010373979594154882	-0.0025889389657235626	0.008126284214736965	0.004782918599341986	0.0035543363511378926	-0.01360706886877673	-0.007027503555514409	-0.0015038183809623184	0.0012271659399144428	0.0032561424331544377	-0.0027705833955031746	0.0036156778773239855	0.0012839292406561992	-0.001826045605829798	8.848486996174529E-4	-0.0015904642295511803	0.0016266605957485794	-6.218422581244233E-4	-6.313739762685442E-4	7.940839945328745E-5	-2.4304503046006768E-4	-5.153487069725874E-4	-1.2432356592464633E-4	-1.1437512378320572E-4	2.343265056538541E-4
f13	f	f13	l	-0.03885605914736356	-0.040890032524005686	-0.018836403801468397	-0.0037981452492331343	0.0017552833871181683	-5.683814263880821E-4	-0.002771611309567568	0.006997891908995763	-4.053692677412953E-5	0.00493862261551301	-0.004718638519233505	0.002566811596768087	0.005869361076369569	0.005041047015197194	-5.07627712607709E-4	0.004406864367132042	6.964724386363437E-4	0.004943503098206007	3.745759857888128E-4	-0.0010325827332622983	0.003972234610684466	3.7512209253052825E-4	0.0014725620744613119	-2.0686398560239945E-5	-0.0010765018746384538	2.3376880800100343E-4	1.7436414030716626E-4	2.3206174956588428E-4	-1.3904866952138765E-4	9.515891122527462E-5
f14	f	f14	l	-0.06232815831233757	-0.0124396594550906	-0.01795401539551339	0.005458433707187338	-0.012400840902203813	0.014707612515421072	0.010640921548860396	0.0020555243710649656	-0.0048843122675198344	-4.3802407531733523E-4	-0.009527197880785406	0.006540857971591567	0.0017457554849613548	-0.009170317455947923	0.005635668987682523	-5.371776060031426E-4	0.00717004066134742	-0.004000126279927329	-3.423894766929241E-4	-0.0019408276578672772	0.0017159038519566766	0.002006379744056364	2.0730399615664485E-4	-0.0010004350328606	-2.1218451934759816E-4	5.182190785278282E-4	1.3323733859040162E-4	3.0294949676325103E-4	-1.7058281151446458E-4	2.0091244304386367E-5
f15	f	f15	l	-0.056619071364975716	-0.027126949119244518	0.008849119757196692	-0.01594654124825402	0.003370408588343588	-0.013683280815466964	0.0016434198426863531	0.011015281515815753	-0.006487238573312422	-0.014202024252418339	0.0013296103548252696	0.00509794123067586	-0.013480556530422107	0.005918809786949799	-5.596212776392349E-4	0.0032199438202216053	0.003315974239762711	0.006253822199177044	0.0013801619297032141	-0.0025534190301730575	0.0017685105207363985	-5.699593886892163E-5	6.473237435766282E-4	-3.6643831735161045E-5	2.1315127180548867E-4	-4.442651461288277E-4	-3.389816758598129E-4	-3.8786524991671E-4	2.7147371759237804E-5	-1.0388756464022126E-4
f16	f	f16	l	-0.008842183646383398	0.008618790117124242	0.014230862392921245	0.007097136909370452	-0.012580673406627694	0.006775185835732107	-0.004079328846947353	-0.006996032492640874	-0.003998863636063694	-0.0021713644007044473	9.285898591417774E-5	-0.003733917642270233	-0.003057611367075851	0.0022870341562479446	0.006568898632564402	0.001908245324222143	0.004860779693392616	-0.004703267440838079	0.0023226282010450567	3.053538760987652E-4	-0.0015173164690187185	-0.001957748735259556	-8.375146488723497E-4	-2.7821744300413284E-5	-5.749191325344872E-4	-1.7110839560272937E-4	-1.973514949106188E-4	2.5836142567669612E-5	1.261882676709965E-4	-7.500641055745516E-5
f17	f	f17	l	-0.015403689366893736	0.011726089510806224	0.024534293956175717	0.0010712621060738976	-0.008147959596110399	-0.005880856404423358	-0.003635261693303059	-0.008197553216283834	0.004077551741267909	-4.081152706094913E-4	0.0023245292064390495	-0.008612187762673626	-0.011997612281066147	-0.008130466833106939	0.0059409178766968475	5.643252719558372E-4	-0.004277649099637574	-0.002282728397330985	-3.4964264010498014E-4	-0.0031213461796580494	0.0018270676280722545	9.449254010651621E-5	0.0020358193948592533	-0.0013181412064859643	2.5997860989410344E-4	2.218540903037603E-4	-1.7113217180744772E-4	-3.153464075869171E-5	-4.5764439789037765E-5	1.4383869149556093E-7
f18	f	f18	l	0.025828788975094004	-0.03959158176616434	0.020360855070550948	-0.0036661122464047282	0.006442030053063941	-0.006260620862352007	-0.001670712957514567	-0.0025547337177416283	-0.00942779107830919	0.002393981177067949	0.001132424942143582	-5.052982357384918E-4	0.004316600905050515	0.004454072935753736	0.00702553548706143	0.007394493006623384	-0.002421898983110178	0.0014864590115092327	9.648496417916149E-4	-0.0027472488527477733	0.001184918368738352	-0.0038445951009510393	0.001163307798114301	-0.0010726962687645995	6.399507922704702E-4	-1.6249400980883994E-4	-1.9916057560835805E-4	3.06111493009026E-4	1.9141231130425973E-4	3.213245718900132E-5
