Id	SEXO	ind	vista	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
f10	f	f10	d	-0.0438154041735436	-0.02517664442639205	0.020605711749047156	0.0020847977071559	-0.004088124093163538	-0.015054576220929365	-0.010106290178062138	0.0021395592864754723	-0.00960820440807673	-0.0036070503143886866	-0.014754299789525369	0.0022054470186722466	0.004760329948258295	7.854937282146435E-4	-0.0018929645583664809	-0.0021804168591941122	-0.0031262096666276645	0.0012154576729018168	5.950231918329545E-4
f11	f	f11	d	-0.038915048971141945	-0.02034409462732447	-0.005472143760045333	-0.003795380949970239	-0.012909258424572608	-0.01040489118527515	-0.008166944266245363	0.0018758512930442091	0.0020070354359161334	0.004786626716094318	-0.009580183182678602	0.007662524769411834	-0.0019000501428919044	-0.007789759067313415	-0.003272230350702567	0.0052198945326662905	6.467273875165353E-4	-2.03650464523288E-4	-3.580559864899849E-4
f12	f	f12	d	-0.020431978532224067	-0.021728592779506683	-0.017413460919795808	-0.018320861499329027	-0.005431153513634548	-0.002932034840842487	-0.009605753604330202	0.008968909622168685	0.007225610075118114	-0.0033063358311172944	4.352325885170597E-4	0.00900222433270922	0.0011002231090234671	0.004530138910911798	1.9817455015024238E-4	-0.004605171778209948	0.003018766274758469	-8.43509072369754E-4	0.0011422340359686198
f13	f	f13	d	-0.027830485907399092	-0.014799618832727622	-0.002636693859267333	0.002967798011999991	-0.005822029051323123	-0.006763411340430495	0.0051163035449132595	0.004553685232354593	0.0023086945365377153	0.010185835358869346	0.0016789319239802715	0.0012942030249046433	-0.002711986273233845	0.0053636426826292214	0.00299809556568016	-0.0025475221379615805	-0.004552736187344775	0.0014048757001463778	0.0024841995276390564
f14	f	f14	d	-0.01874730151443726	-0.034495172676966196	0.014094382046889514	0.0015948180631740424	0.01177158789175662	-0.0020332320750541455	-0.002712805068325762	0.006571192669778283	-0.006488204302656581	0.011172916001333822	0.002335491369213332	-9.73955361866242E-4	-0.005869466772225541	0.0027074180840426527	0.0021147840970430765	-0.0016431712908915673	-0.0011790255215522686	-8.16246907892498E-4	-0.0011192269603617164
f15	f	f15	d	6.390628744324038E-4	-0.023296017548585606	5.601552643780543E-4	-0.0018370994376684993	-0.009804342261253266	6.009529302657758E-4	-0.013078601983262675	-0.015044598642259491	5.564951764809706E-4	0.008559363365488784	0.010378717589638885	0.011233269150401182	0.001644900005647953	-0.002111066129744504	-0.002191980260510295	-0.002054993188209324	0.0010433887800227956	-0.0016202663120290818	-0.0011108409604861501
f16	f	f16	d	0.006635366657385254	-3.10369856694482E-4	-0.015001744959055393	0.010781023008039438	-0.006198485365843736	0.01081650731733555	0.013015870497406518	0.01061641554038584	4.128490824146165E-4	-1.1320950078469504E-4	-0.0036606071212702917	-1.7062065659036125E-4	-0.005341121901634236	0.0018058769876567447	0.0016200090198884637	-0.004131226205077318	-0.0036605253105175136	6.603346575972214E-4	-0.0016857679875965448
f17	f	f17	d	0.014063866756317737	-0.005485174743732103	0.00418713121316631	0.014610514766498649	-0.002979272360339237	-6.454474283255782E-4	-0.0062839831621058165	0.003363401702105166	-0.005193598808632804	0.0011157340393701904	0.0037674202948226087	0.0038001248847840848	0.0019858897756587952	-0.003655788008196634	0.004282658707165718	0.0014701272898934722	-7.474185952891837E-4	-0.0015023178942905283	-8.960507840237825E-4
f18	f	f18	d	0.017649305475127722	-0.017847958598833272	0.007819297410585367	-0.013742571047835718	1.9602925177468562E-4	0.007345731769991959	-3.3131423507597944E-4	0.0067223979029588906	-0.0020166598519771807	-7.082616705026872E-4	-0.0037844601612914593	0.0012721962123647646	1.3807666146318153E-4	0.004616438307389334	5.824678093363533E-4	3.0659290773525806E-4	-0.0038297569944858367	-0.001236771556461645	-0.0014884163651181818
f19	f	f19	d	0.01327701878380299	-0.0028363665102918985	-0.004292407560550929	9.150797951655606E-4	-0.0072528944864182175	0.004307706918380335	0.004102139556982873	0.0067639070690304285	-0.01120992164884827	0.003958532910556329	0.0033958594766190335	-0.013462737535970177	-0.0023218522896768365	-0.003387763920990282	-0.004323390552435301	-0.004698980624564793	0.002946040838952161	0.002705543893637564	9.311199890389317E-4
f2	f	f2	d	-0.04028763059273925	-0.020906217766678444	0.0015645562312851253	-0.00990201983394287	0.002886528861346373	-0.012763149451087391	0.018882181212354895	-0.006413311622958148	-0.006311169355748688	0.007933411466499049	-0.003843686661747324	7.487208687188751E-4	-0.003826349740696654	-0.005352643343487142	-0.0013354705376578367	-1.5753469213774466E-5	-2.2002458767448078E-4	-6.485885929738788E-4	-2.2770902784399012E-4
f20	f	f20	d	0.008156587464058828	-0.0026116488371031267	-0.01250195953553299	0.017361449788652287	-0.009222380711043955	-0.005701579037503654	0.007890904731387403	-9.336608984982194E-4	-0.004265468441178775	0.0010551507246774109	0.005378861874649844	0.0019916591391415505	-0.008631618763519058	0.0020453531010751827	-0.0013195073042238292	0.005802897853502856	0.0028034912317821898	-0.0010133292835792494	5.638567016485746E-4
